Energy Balances - EurostatEnTable
Energy balances,,,,,,,,,,,,,,
European Union (27 countries) - Total - main fuel families,,,,,,,,,,,,,,
Year                     : 2023                                          Unit                     : GWH,,Total,Solid fossil fuels,Manufactured gases,Peat and peat products,Oil shale and oil sands,Natural gas,Oil and petroleum products (excluding biofuel portion),Renewables and biofuels,Non-renewable waste,Nuclear heat,Electricity,Heat,
Transformation output - electricity and heat generation - autoproducer electricity only,TO_EHG_APE,126 492,0,0,0,0,0,0,0,0,0,126 492,0,
Transformation output - electricity and heat generation - autoproducer combined heat and power,TO_EHG_APCHP,228 430,0,0,0,0,0,0,0,0,0,185 371,43 058,
Transformation output - electricity and heat generation - autoproducer heat only,TO_EHG_APH,11 472,0,0,0,0,0,0,0,0,0,0,11 472,
Transformation output - electricity and heat generation - electrically driven heat pumps,TO_EHG_EDHP,9 143,0,0,0,0,0,0,0,0,0,0,9 143,
Transformation output - electricity and heat generation - electric boilers,TO_EHG_EB,3 331,0,0,0,0,0,0,0,0,0,0,3 331,
Transformation output - electricity and heat generation - pumped hydro,TO_EHG_PH,31 170,0,0,0,0,0,0,0,0,0,31 170,0,
Transformation output - electricity and heat generation - other sources,TO_EHG_OTH,35 212,0,0,0,0,0,0,0,0,0,6 005,29 206,
Transformation output - coke ovens,TO_CO,288 900,228 282,60 618,0,0,0,0,0,0,0,0,0,
Transformation output - blast furnaces,TO_BF,115 325,0,115 325,0,0,0,0,0,0,0,0,0,
Transformation output - gas works,TO_GW,645,0,645,0,0,0,0,0,0,0,0,0,
Transformation output - refineries and petrochemical industry,TO_RPI,7 475 132,0,0,0,0,0,7 475 130,2,0,0,0,0,
Transformation output - refineries and petrochemical industry - refinery output,TO_RPI_RO,6 249 431,0,0,0,0,0,6 249 431,0,0,0,0,0,
Transformation output - refineries and petrochemical industry - backflows,TO_RPI_BKFLOW,169 057,0,0,0,0,0,169 057,0,0,0,0,0,
Transformation output - refineries and petrochemical industry - products transferred,TO_RPI_PT,302 500,0,0,0,0,0,302 500,0,0,0,0,0,
Transformation output - refineries and petrochemical industry - interproduct transfers,TO_RPI_IT,418 462,0,0,0,0,0,418 462,0,0,0,0,0,
Transformation output - refineries and petrochemical industry - primary product receipts,TO_RPI_PPR,164 129,0,0,0,0,0,164 129,0,0,0,0,0,
Transformation output - refineries and petrochemical industry - petrochemical industry returns,TO_RPI_PIR,171 552,0,0,0,0,0,171 550,2,0,0,0,0,
Transformation output - patent fuel plants,TO_PF,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation output - coal liquefaction plants,TO_CL,29 014,28 837,0,177,0,0,0,0,0,0,0,0,
Transformation output - brown coal briquettes and peat briquettes plants,TO_BKBPB,13 614,0,0,0,0,0,13 614,0,0,0,0,0,
Transformation output - blended in natural gas,TO_BNG,33 130,0,0,0,0,33 130,0,0,0,0,0,0,
Transformation output - charcoal production plants,TO_CPP,204 664,0,0,0,0,0,0,204 664,0,0,0,0,
Transformation output - liquid biofuels blended,TO_LBB,1 144,0,0,0,0,0,0,1 144,0,0,0,0,
Transformation output - gas-to-liquids plants,TO_GTL,14 269,0,0,0,0,0,14 269,0,0,0,0,0,
Transformation output - not elsewhere specified,TO_NSP,3 498,0,8,0,0,0,3 490,0,0,0,0,0,
Energy sector - energy use,NRG_E,692 793,4 618,56 385,78,0,94 097,308 951,7 752,831,N/A,187 100,32 981,
Energy sector - electricity and heat generation - energy use,NRG_EHG_E,125 300,0,123,0,0,1 388,683,108,0,0,112 591,10 406,
Energy sector - coal mines - energy use,NRG_CM_E,10 551,1 716,0,3,0,114,617,8,0,0,7 041,1 052,
Energy sector - oil and natural gas extraction plants - energy use,NRG_OIL_NG_E,26 209,0,0,0,0,22 333,236,0,0,0,3 631,9,
Energy sector - patent fuel plants - energy use,NRG_PF_E,0,0,0,0,0,0,0,0,0,0,0,0,
Energy sector - coke ovens - energy use,NRG_CO_E,36 000,1 168,31 195,0,0,64,2,0,0,0,1 941,1 630,
Energy sector - brown coal briquettes and peat briquettes plants - energy use,NRG_BKBPB_E,8 318,1 454,0,75,0,0,0,177,31,0,3 548,3 034,
Energy sector - gas works - energy use,NRG_GW_E,86,0,0,0,0,0,0,37,0,0,44,4,
Energy sector - blast furnaces - energy use,NRG_BF_E,23 682,114,20 771,0,0,683,3,0,496,0,1 498,116,
